municipality,iata_code,,name,iso_region
Utirik Island,UTK,,Utirik Airport,MH-UTI
Key Largo,OCA,,Ocean Reef Club Airport,US-FL
Corpus Christi,CUX,,Cuddihy Field,US-TX
Crested Butte,CSE,,Crested Butte Airpark,US-CO
Columbus,CUS,,Columbus Airport,US-NM
Stonewall,JCY,,LBJ Ranch Airport,US-TX
Loring,WLR,,Loring Seaplane Base,US-AK
Nunapitchuk,NUP,,Nunapitchuk Airport,US-AK
Port Alice,PTC,,Port Alice Seaplane Base,US-AK
Icy Bay,ICY,,Icy Bay Airport,US-AK
Port Protection,PPV,,Port Protection Seaplane Base,US-AK
Kalakaket Creek,KKK,,Kalakaket Creek AS Airport,US-AK
Dunsmuir,MHS,,Dunsmuir Muni-Mott Airport,US-CA
Beeville,NIR,,Chase Field Industrial Airport,US-TX
Littlefield,GCT,,Grand Canyon Bar Ten Airstrip,US-AZ
Ellamar,ELW,,Ellamar Seaplane Base,US-AK
Lime Village,LVD,,Lime Village Airport,US-AK
Hogatza,HGZ,,Hog River Airport,US-AK
Oaktown,OTN,,Ed-Air Airport,US-IN
Telida,TLF,,Telida Airport,US-AK
Brazoria,BZT,,Eagle Air Park,US-TX
Entrance Island,HBH,,Entrance Island Seaplane Base,US-AK
False Island,FAK,,False Island Seaplane Base,US-AK
Blakely Island,BYW,,Blakely Island Airport,US-WA
Kenai,DRF,,Drift River Airport,US-AK
Bradford,BDF,,Rinkenberger Restricted Landing Area,US-IL
Tetlin,TEH,,Tetlin Airport,US-AK
Versailles,VRS,,Roy Otten Memorial Airfield,US-MO
Golden Horn Lodge,GDH,,Golden Horn Lodge Seaplane Base,US-AK
Atmautluak,ATT,,Atmautluak Airport,US-AK
Livengood,LIV,,Livengood Camp Airport,US-AK
Pedro Bay,PDB,,Pedro Bay Airport,US-AK
Ouzinkie,KOZ,,Ouzinkie Airport,US-AK
Tununak,TNK,,Tununak Airport,US-AK
Hyder,WHD,,Hyder Seaplane Base,US-AK
Minto,MNT,,Minto Al Wright Airport,US-AK
Tokeen,TKI,,Tokeen Seaplane Base,US-AK
Aleknagik,WKK,,Aleknagik / New Airport,US-AK
Ketchikan,WFB,,Ketchikan Harbor Seaplane Base,US-AK
Rolling Fork,RFK,,Rollang Field,US-MS
Naknek,NNK,,Naknek Airport,US-AK
Katmai National Park,BKF,,Lake Brooks Seaplane Base,US-AK
Belle Chasse,BCS,,Southern Seaplane Airport,US-LA
Stow,MMN,,Minute Man Air Field,US-MA
San Pedro,SPQ,,Catalina Air-Sea Terminal Heliport,US-CA
New York,TSS,,East 34th Street Heliport,US-NY
New York,NYS,,New York Skyports Inc Seaplane Base,US-NY
Blackwell,BWL,,Earl Henry Airport,US-OK
Yes Bay,WYB,,Yes Bay Lodge Seaplane Base,US-AK
Center Island,CWS,,Center Island Airport,US-WA
Tatitlek,TEK,,Tatitlek Airport,US-AK
Corolla,DUF,,Pine Island Airport,US-NC
Friday Harbor,SSW,,Stuart Island Airpark,US-WA
Fort Bragg,FOB,,Fort Bragg Airport,US-CA
Poulsbo,PUL,,Port of Poulsbo Marina Moorage Seaplane Base,US-WA
Los Angeles,CCD,,Century City Heliport,US-CA
Meyers Chuck,WMK,,Meyers Chuck Seaplane Base,US-AK
Alexandria Bay,AXB,,Maxson Airfield,US-NY
Lubbock,REE,,Reese Airpark,US-TX
Eastsound,WDN,,Waldron Airstrip,US-WA
Whale Pass,WWP,,Whale Pass Seaplane Float Harbor Facility,US-AK
Chuathbaluk,CHU,,Chuathbaluk Airport,US-AK
Ugashik,UGS,,Ugashik Airport,US-AK
City of Industry,JID,,Recreation and Conference Center Heliport,US-CA
Essington,PSQ,,Philadelphia Seaplane Base,US-PA
Levelock,KLL,,Levelock Airport,US-AK
Saginaw Bay,SGW,,Saginaw Seaplane Base,US-AK
Tuntutuliak,WTL,,Tuntutuliak Airport,US-AK
Twin Hills,TWA,,Twin Hills Airport,US-AK
Chignik Lake,KCQ,,Chignik Lake Airport,US-AK
Adado,AAD,,Adado Airport,SO-GA
Atkamba Mission,ABP,,Atkamba Airport,PG-WPD
Arica,ACM,,Arica Airport,CO-AMA
Andekombe,ADC,,Andakombe Airport,PG-EHG
El Daein,ADV,,El Daein Airport,SD-DE
Jebel Ali,DJH,,Jebel Ali Seaplane Base,AE-DU
Adar,AEE,,Adareil Airport,SS-23
Aseki,AEK,,Aseki Airport,PG-MPL
Chifeng,AEQ,,Ar Horqin Airport,CN-15
Khost,KHT,,"""Ghost"" International Airport",AF-KHO
Orūzgān,URZ,,Orūzgān Airport,AF-URU
Khost,OLR,,Salerno Airport,AF-KHO
Ampara,AFK,,Kondavattavana Tank Seaplane Base,LK-5
